Абаза,Хакасия,12272,52.650000,90.083333
Абакан,Хакасия,184769,53.716670,91.416670
Абдулино,Оренбургская область,17274,53.683330,53.650000
Абинск,Краснодарский край,39511,44.866670,38.166670
Агидель,Башкортостан,14219,55.900000,53.933330
Агрыз,Татарстан,19991,56.516670,52.983330
Адыгейск,Адыгея,13175,44.884525,39.192020
Азнакаево,Татарстан,34750,54.850000,53.066670
Азов,Ростовская область,81924,47.100000,39.416670
Ак-Довурак,Тыва,12456,51.166670,90.600000
Аксай,Ростовская область,48372,47.266670,39.866670
Алагир,Северная Осетия,21550,43.041670,44.210560
Алапаевск,Свердловская область,36189,57.850000,61.700000
Алатырь,Чувашия,32265,54.850000,46.583330
Алдан,Якутия,21590,58.600000,125.383330
Алейск,Алтайский край,25380,52.500000,82.783330
Александров,Владимирская область,57053,56.393610,38.715000
Александровск,Пермский край,10780,59.166670,57.583330
Александровск-Сахалинский,Сахалинская область,8854,50.900000,142.150000
Алексеевка,Белгородская область,36578,50.630000,38.686390
Алексин,Тульская область,60842,54.500000,37.066670
Алзамай,Иркутская область,5373,55.550000,98.666670
Алупка,Крым,9063,44.419720,34.043060
Алушта,Крым,31364,44.667220,34.397780
Альметьевск,Татарстан,163512,54.900000,52.300000
Амурск,Хабаровский край,38606,50.216670,136.900000
Анадырь,Чукотский АО,13202,64.733330,177.516670
Анапа,Краснодарский край,81863,44.893857,37.317481
Ангарск,Иркутская область,221296,52.566670,103.916670
Андреаполь,Тверская область,6956,56.650000,32.266670
Анжеро-Судженск,Кемеровская область,66583,56.083330,86.033330
Анива,Сахалинская область,9638,46.716670,142.516670
Апатиты,Мурманская область,49647,67.567500,33.393330
Апрелевка,Московская область,35514,55.533330,37.050000
Апшеронск,Краснодарский край,40289,44.460830,39.740560
Арамиль,Свердловская область,19013,56.700000,60.833330
Аргун,Чечня,41622,43.292095,45.876622
Ардатов,Мордовия,8857,54.850000,46.233330
Ардон,Северная Осетия,18956,43.172780,44.292220
Арзамас,Нижегородская область,104908,55.383330,43.800000
Аркадак,Саратовская область,10990,51.933330,43.500000
Армавир,Краснодарский край,187177,44.994640,41.129460
Армянск,Крым,20692,46.106940,33.693060
Арсеньев,Приморский край,47937,44.166670,133.266670
Арск,Татарстан,20421,56.090560,49.876390
Артём,Приморский край,109556,43.350000,132.183333
Артёмовск,Красноярский край,1510,54.350000,93.433330
Артёмовский,Свердловская область,28943,57.336390,61.891940
Архангельск,Архангельская область,301199,64.550000,40.533330
Асбест,Свердловская область,57317,57.010277,61.456390
Асино,Томская область,24913,57.000000,86.150000
Астрахань,Астраханская область,475629,46.333330,48.033330
Аткарск,Саратовская область,22709,51.866670,45.000000
Ахтубинск,Астраханская область,35635,48.283330,46.166670
Ачинск,Красноярский край,100621,56.266670,90.500000
Ачхой-Мартан,Чечня,30739,43.189155,45.284741
Аша,Челябинская область,27890,55.000000,57.250000
Бабаево,Вологодская область,11739,59.383330,35.950000
Бабушкин,Бурятия,4368,51.716670,105.866670
Бавлы,Татарстан,21628,54.400000,53.250000
Багратионовск,Калининградская область,6417,54.383330,20.633330
